Study,Design,dA,nA,dB,nB,dC,nC,dD,nD,hasA,hasB,hasC,hasD
1,ACD,9,140,.,.,23,140,10,138,1,0,1,1
2,BCD,,,11,78,12,85,29,170,0,1,1,1
3,AB,79,702,77,694,.,.,.,.,1,1,0,0
4,AB,18,671,21,535,.,.,.,.,1,1,0,0
5,AB,18,116,19,146,.,.,.,.,1,1,0,0
6,AC,75,731,.,.,363,714,.,.,1,0,1,0
7,AC,2,106,.,.,9,205,.,.,1,0,1,0
8,AC,58,549,.,.,237,1561,.,.,1,0,1,0
9,AC,0,33,.,.,9,48,.,.,1,0,1,0
10,AC,3,100,.,.,31,98,.,.,1,0,1,0
11,AC,1,31,.,.,26,95,.,.,1,0,1,0
12,AC,6,39,.,.,17,77,.,.,1,0,1,0
13,AC,95,1107,.,.,134,1031,.,.,1,0,1,0
14,AC,15,187,.,.,35,504,.,.,1,0,1,0
15,AC,78,584,.,.,73,675,.,.,1,0,1,0
16,AC,69,1177,.,.,54,888,.,.,1,0,1,0
17,AC,64,642,.,.,107,761,.,.,1,0,1,0
18,AC,5,62,.,.,8,90,.,.,1,0,1,0
19,AC,20,234,.,.,34,237,.,.,1,0,1,0
20,AD,0,20,.,.,.,.,9,20,1,0,0,1
21,BC,.,.,20,49,16,43,.,.,0,1,1,0
22,BD,.,.,7,66,.,.,32,127,0,1,0,1
23,CD,.,.,.,.,12,76,20,74,0,0,1,1
24,CD,.,.,.,.,9,55,3,26,0,0,1,1
